timestamp,zone,severity,message,recommendation,alert_type,scenario
2026-04-01 07:50:00,Gym,Warning,Gym: temperature is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,temperature,ventilation_failure
2026-04-01 07:50:00,Gym,Warning,Gym: humidity is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,humidity,ventilation_failure
2026-04-01 07:50:00,Gym,Danger,Gym: air quality is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,air_quality,ventilation_failure
2026-04-01 07:50:00,Gym,Warning,Gym: vent open ratio is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,vent_open_ratio,ventilation_failure
2026-04-01 07:50:00,Gym,Danger,Gym: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Gym due to repeated comfort violations.,repeated_pattern,ventilation_failure
2026-04-01 07:50:00,Co-working Space,Danger,Co-working Space: air quality is danger.,Increase airflow in Co-working Space and investigate occupancy-related air quality decline.,air_quality,poor_air_quality
2026-04-01 07:50:00,Co-working Space,Danger,Co-working Space: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Co-working Space due to repeated comfort violations.,repeated_pattern,poor_air_quality
2026-04-01 07:50:00,Corridor,Danger,Corridor: temperature is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,temperature,sensor_fault
2026-04-01 07:50:00,Corridor,Danger,Corridor: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Corridor due to repeated comfort violations.,repeated_pattern,sensor_fault
2026-04-01 08:00:00,Lobby,Warning,Lobby: air quality is warning.,Increase airflow in Lobby and investigate occupancy-related air quality decline.,air_quality,normal
2026-04-01 08:00:00,Gym,Warning,Gym: temperature is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,temperature,ventilation_failure
2026-04-01 08:00:00,Gym,Danger,Gym: humidity is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,humidity,ventilation_failure
2026-04-01 08:00:00,Gym,Danger,Gym: air quality is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,air_quality,ventilation_failure
2026-04-01 08:00:00,Gym,Warning,Gym: vent open ratio is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,vent_open_ratio,ventilation_failure
2026-04-01 08:00:00,Gym,Danger,Gym: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Gym due to repeated comfort violations.,repeated_pattern,ventilation_failure
2026-04-01 08:00:00,Co-working Space,Danger,Co-working Space: air quality is danger.,Increase airflow in Co-working Space and investigate occupancy-related air quality decline.,air_quality,poor_air_quality
2026-04-01 08:00:00,Co-working Space,Danger,Co-working Space: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Co-working Space due to repeated comfort violations.,repeated_pattern,poor_air_quality
2026-04-01 08:00:00,Corridor,Danger,Corridor: temperature is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,temperature,sensor_fault
2026-04-01 08:00:00,Corridor,Danger,Corridor: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Corridor due to repeated comfort violations.,repeated_pattern,sensor_fault
2026-04-01 08:10:00,Gym,Warning,Gym: temperature is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,temperature,ventilation_failure
2026-04-01 08:10:00,Gym,Danger,Gym: humidity is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,humidity,ventilation_failure
2026-04-01 08:10:00,Gym,Danger,Gym: air quality is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,air_quality,ventilation_failure
2026-04-01 08:10:00,Gym,Warning,Gym: vent open ratio is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,vent_open_ratio,ventilation_failure
2026-04-01 08:10:00,Gym,Danger,Gym: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Gym due to repeated comfort violations.,repeated_pattern,ventilation_failure
2026-04-01 08:10:00,Co-working Space,Danger,Co-working Space: air quality is danger.,Increase airflow in Co-working Space and investigate occupancy-related air quality decline.,air_quality,poor_air_quality
2026-04-01 08:10:00,Co-working Space,Danger,Co-working Space: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Co-working Space due to repeated comfort violations.,repeated_pattern,poor_air_quality
2026-04-01 08:10:00,Corridor,Danger,Corridor: temperature is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,temperature,sensor_fault
2026-04-01 08:10:00,Corridor,Danger,Corridor: light level is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,light_level,sensor_fault
2026-04-01 08:10:00,Corridor,Danger,Corridor: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Corridor due to repeated comfort violations.,repeated_pattern,sensor_fault
2026-04-01 08:20:00,Lobby,Warning,Lobby: air quality is warning.,Increase airflow in Lobby and investigate occupancy-related air quality decline.,air_quality,normal
2026-04-01 08:20:00,Gym,Warning,Gym: temperature is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,temperature,ventilation_failure
2026-04-01 08:20:00,Gym,Danger,Gym: humidity is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,humidity,ventilation_failure
2026-04-01 08:20:00,Gym,Danger,Gym: air quality is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,air_quality,ventilation_failure
2026-04-01 08:20:00,Gym,Warning,Gym: vent open ratio is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,vent_open_ratio,ventilation_failure
2026-04-01 08:20:00,Gym,Danger,Gym: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Gym due to repeated comfort violations.,repeated_pattern,ventilation_failure
2026-04-01 08:20:00,Co-working Space,Danger,Co-working Space: air quality is danger.,Increase airflow in Co-working Space and investigate occupancy-related air quality decline.,air_quality,poor_air_quality
2026-04-01 08:20:00,Co-working Space,Danger,Co-working Space: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Co-working Space due to repeated comfort violations.,repeated_pattern,poor_air_quality
2026-04-01 08:20:00,Corridor,Danger,Corridor: temperature is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,temperature,sensor_fault
2026-04-01 08:20:00,Corridor,Danger,Corridor: light level is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,light_level,sensor_fault
2026-04-01 08:20:00,Corridor,Danger,Corridor: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Corridor due to repeated comfort violations.,repeated_pattern,sensor_fault
2026-04-01 08:30:00,Lobby,Warning,Lobby: air quality is warning.,Increase airflow in Lobby and investigate occupancy-related air quality decline.,air_quality,normal
2026-04-01 08:30:00,Gym,Warning,Gym: temperature is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,temperature,ventilation_failure
2026-04-01 08:30:00,Gym,Warning,Gym: humidity is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,humidity,ventilation_failure
2026-04-01 08:30:00,Gym,Danger,Gym: air quality is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,air_quality,ventilation_failure
2026-04-01 08:30:00,Gym,Warning,Gym: vent open ratio is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,vent_open_ratio,ventilation_failure
2026-04-01 08:30:00,Gym,Danger,Gym: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Gym due to repeated comfort violations.,repeated_pattern,ventilation_failure
2026-04-01 08:30:00,Co-working Space,Danger,Co-working Space: air quality is danger.,Increase airflow in Co-working Space and investigate occupancy-related air quality decline.,air_quality,poor_air_quality
2026-04-01 08:30:00,Co-working Space,Danger,Co-working Space: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Co-working Space due to repeated comfort violations.,repeated_pattern,poor_air_quality
2026-04-01 08:30:00,Corridor,Danger,Corridor: temperature is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,temperature,sensor_fault
2026-04-01 08:30:00,Corridor,Danger,Corridor: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Corridor due to repeated comfort violations.,repeated_pattern,sensor_fault
2026-04-01 08:40:00,Lobby,Warning,Lobby: air quality is warning.,Increase airflow in Lobby and investigate occupancy-related air quality decline.,air_quality,normal
2026-04-01 08:40:00,Lobby,Warning,Lobby: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Lobby due to repeated comfort violations.,repeated_pattern,normal
2026-04-01 08:40:00,Gym,Warning,Gym: temperature is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,temperature,ventilation_failure
2026-04-01 08:40:00,Gym,Danger,Gym: humidity is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,humidity,ventilation_failure
2026-04-01 08:40:00,Gym,Danger,Gym: air quality is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,air_quality,ventilation_failure
2026-04-01 08:40:00,Gym,Warning,Gym: vent open ratio is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,vent_open_ratio,ventilation_failure
2026-04-01 08:40:00,Gym,Danger,Gym: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Gym due to repeated comfort violations.,repeated_pattern,ventilation_failure
2026-04-01 08:40:00,Co-working Space,Danger,Co-working Space: air quality is danger.,Increase airflow in Co-working Space and investigate occupancy-related air quality decline.,air_quality,poor_air_quality
2026-04-01 08:40:00,Co-working Space,Danger,Co-working Space: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Co-working Space due to repeated comfort violations.,repeated_pattern,poor_air_quality
2026-04-01 08:40:00,Corridor,Danger,Corridor: temperature is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,temperature,sensor_fault
2026-04-01 08:40:00,Corridor,Danger,Corridor: light level is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,light_level,sensor_fault
2026-04-01 08:40:00,Corridor,Danger,Corridor: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Corridor due to repeated comfort violations.,repeated_pattern,sensor_fault
2026-04-01 08:50:00,Lobby,Warning,Lobby: air quality is warning.,Increase airflow in Lobby and investigate occupancy-related air quality decline.,air_quality,normal
2026-04-01 08:50:00,Lobby,Warning,Lobby: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Lobby due to repeated comfort violations.,repeated_pattern,normal
2026-04-01 08:50:00,Gym,Warning,Gym: temperature is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,temperature,ventilation_failure
2026-04-01 08:50:00,Gym,Danger,Gym: humidity is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,humidity,ventilation_failure
2026-04-01 08:50:00,Gym,Danger,Gym: air quality is danger.,Inspect mechanical ventilation in Gym and verify vent actuator state.,air_quality,ventilation_failure
2026-04-01 08:50:00,Gym,Warning,Gym: vent open ratio is warning.,Inspect mechanical ventilation in Gym and verify vent actuator state.,vent_open_ratio,ventilation_failure
2026-04-01 08:50:00,Gym,Danger,Gym: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Gym due to repeated comfort violations.,repeated_pattern,ventilation_failure
2026-04-01 08:50:00,Co-working Space,Danger,Co-working Space: air quality is danger.,Increase airflow in Co-working Space and investigate occupancy-related air quality decline.,air_quality,poor_air_quality
2026-04-01 08:50:00,Co-working Space,Danger,Co-working Space: repeated non-safe environmental pattern detected.,Schedule a facilities inspection for Co-working Space due to repeated comfort violations.,repeated_pattern,poor_air_quality
2026-04-01 08:50:00,Corridor,Danger,Corridor: temperature is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,temperature,sensor_fault
2026-04-01 08:50:00,Corridor,Danger,Corridor: light level is danger.,Check sensor calibration and connectivity in Corridor; readings appear unreliable.,light_level,sensor_fault
